YEAR,ROUND,BETTER_SEED,BETTER_TEAM,WORSE_SEED,WORSE_TEAM,UPSET,KENPOM ADJUSTED EFFICIENCY,KENPOM ADJUSTED OFFENSE,KENPOM ADJUSTED DEFENSE,KENPOM ADJUSTED TEMPO,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED OFFENSE,BARTTORVIK ADJUSTED DEFENSE,BARTHAG,ELITE SOS,BARTTORVIK ADJUSTED TEMPO,2PT %,3PT %,FREE THROW %,EFG %,FREE THROW RATE,3PT RATE,ASSIST %,OFFENSIVE REBOUND %,DEFENSIVE REBOUND %,BLOCK %,TURNOVER %,2PT % DEFENSE,3PT % DEFENSE,FREE THROW % DEFENSE,EFG % DEFENSE,FREE THROW RATE DEFENSE,3PT RATE DEFENSE,OP ASSIST %,OP O REB %,OP D REB %,BLOCKED %,TURNOVER % DEFENSE,WINS ABOVE BUBBLE,WIN %,POINTS PER POSSESSION OFFENSE,POINTS PER POSSESSION DEFENSE
2025,6,1,Florida,1,Houston,0,,,4.287300000000002,,-3.111000000000004,,,,-0.8269999999999982,8.091000000000008,,,-2.299999999999997,2.299999999999997,4.400000000000002,9.100000000000001,8.0,2.0,0.5,-3.5,0.40000000000000036,,-1.2999999999999972,-0.20000000000000284,0.3999999999999986,-1.1000000000000014,-5.800000000000004,-8.600000000000001,,,2.0,-4.699999999999999,,0.0,,
2025,5,1,Duke,1,Houston,1,,,2.0216999999999956,,0.37699999999999534,,,,-7.946999999999999,4.281000000000006,,,4.300000000000011,4.699999999999996,3.900000000000002,10.899999999999999,13.700000000000003,-0.8999999999999986,2.799999999999997,-5.200000000000001,-0.1999999999999993,,0.0,0.5999999999999943,-0.3999999999999986,-8.700000000000003,-5.200000000000003,-3.6000000000000014,,,3.0999999999999996,-4.0,,2.9411799999999886,,
2025,5,1,Florida,1,Auburn,0,,,-1.3537000000000035,,-1.703000000000003,,,,-7.814,1.740000000000009,,,-2.200000000000003,-0.7000000000000028,-0.8999999999999986,3.0,-3.1000000000000014,3.8000000000000043,1.5,-4.199999999999999,1.5999999999999996,,0.40000000000000213,-2.799999999999997,-0.7000000000000028,-6.200000000000003,2.5,6.199999999999996,,,1.0999999999999996,-0.3999999999999986,,3.386810000000011,,
2025,4,1,Auburn,2,Michigan State,0,,,2.976300000000009,,10.399000000000001,,,,10.857,-0.08299999999999841,,,-4.099999999999994,4.5,-4.299999999999997,7.899999999999999,-6.100000000000001,-1.0,-5.700000000000003,3.1999999999999993,-3.200000000000001,,1.3000000000000007,1.2999999999999972,-0.10000000000000142,6.100000000000001,-6.600000000000001,-13.199999999999996,,,-0.2999999999999998,1.0,,3.030299999999997,,
2025,4,1,Houston,2,Tennessee,0,,,-0.7172999999999945,,8.601000000000003,,,,-2.7049999999999983,-2.3980000000000032,,,-0.20000000000000284,-0.09999999999999432,-7.199999999999999,-8.5,-15.800000000000004,0.7000000000000028,0.7999999999999972,-0.3000000000000007,-1.4000000000000004,,3.099999999999998,-3.0999999999999943,0.5,4.700000000000003,-2.0,8.5,,,-2.5,3.8999999999999986,,8.823530000000005,,
2025,4,1,Duke,2,Alabama,0,,,-6.84490000000001,,5.902999999999999,,,,-15.840999999999998,-8.938999999999993,,,6.800000000000011,1.1000000000000014,-8.0,-0.8000000000000043,4.0,0.5,2.700000000000003,0.5,-2.299999999999999,,0.09999999999999787,1.0999999999999943,-3.3999999999999986,-8.5,2.799999999999997,7.600000000000001,,,-2.5,4.199999999999999,,15.41888999999999,,
2025,4,1,Florida,3,Texas Tech,0,,,-5.167299999999997,,4.382999999999999,,,,2.5260000000000034,3.9620000000000033,,,-4.6000000000000085,-0.5,2.900000000000002,-1.0,-6.100000000000001,3.8000000000000043,-0.29999999999999716,4.200000000000001,0.1999999999999993,,-2.099999999999998,1.2000000000000028,-2.700000000000003,-0.5,3.1999999999999957,1.3999999999999986,,,0.5999999999999996,-0.3999999999999986,,12.477710000000002,,
2025,3,1,Houston,4,Purdue,0,,,-12.537700000000001,,11.761000000000003,,,,0.11699999999999733,-3.6170000000000044,,,1.0999999999999943,-3.5999999999999943,-6.400000000000002,-3.6000000000000014,-13.300000000000004,5.100000000000001,0.6000000000000085,10.5,-1.0,,0.1999999999999993,-1.6999999999999886,-7.100000000000001,3.1000000000000014,0.3999999999999986,-3.0,,,-2.200000000000001,3.8999999999999986,,21.56862000000001,,
2025,3,1,Auburn,5,Michigan,0,,,-1.5007999999999981,,14.691000000000003,,,,8.270000000000003,-1.6460000000000008,,,1.2000000000000028,1.2000000000000028,-1.5,-1.8999999999999986,-3.0,1.0999999999999943,-0.5,7.199999999999999,-6.4,,-2.1000000000000014,0.5,-0.29999999999999716,10.700000000000003,-4.100000000000001,-4.699999999999996,,,0.0,1.3999999999999986,,11.319069999999996,,
2025,3,2,Tennessee,3,Kentucky,0,,,-11.0685,,3.0549999999999997,,,,-2.244000000000007,-7.044000000000004,,,0.5,-3.200000000000003,-0.5,1.2999999999999972,3.5,6.699999999999999,-4.199999999999989,4.800000000000001,0.8000000000000007,,-3.0,2.0,-6.0,-1.6000000000000014,1.6000000000000014,0.20000000000000284,,,1.0999999999999996,3.8000000000000007,,12.745090000000005,,
