ROUND,BETTER_SEED,WORSE_SEED,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED TEMPO,FREE THROW %,OFFENSIVE REBOUND %,3PT RATE DEFENSE,KENPOM ADJUSTED DEFENSE,EFG % DEFENSE,TURNOVER % DEFENSE,3PT % DEFENSE,EFG %,ASSIST %,FREE THROW RATE,TURNOVER %,WIN %,FREE THROW % DEFENSE,BLOCKED %,3PT RATE,FREE THROW RATE DEFENSE,DEFENSIVE REBOUND %,ELITE SOS,OP ASSIST %,BLOCK %,UPSET
3,1,4,11.761000000000005,-3.617000000000005,1.0999999999999943,5.100000000000001,0.3999999999999986,-12.5377,-7.100000000000001,3.899999999999999,0.1999999999999993,-3.5999999999999943,-13.300000000000004,-6.400000000000002,-1.0,21.56862000000001,-1.6999999999999886,-2.200000000000001,-3.6000000000000014,3.1000000000000014,0.6000000000000085,0.1169999999999973,-3.0,10.5,0
0,11,11,-4.469999999999999,-4.768000000000001,-7.0,0.1999999999999993,9.4,-5.802399999999992,-4.300000000000004,4.5,-3.1000000000000014,-3.6000000000000014,-0.1000000000000014,-2.699999999999996,1.700000000000001,6.108379999999997,-4.799999999999997,-1.8000000000000007,2.3999999999999986,7.200000000000003,-3.8000000000000114,-7.507000000000005,2.6000000000000014,8.900000000000002,1
2,4,5,6.0,0.5,-10.200000000000005,4.900000000000006,-2.8999999999999986,-8.899999999999991,-6.399999999999999,0.3000000000000007,0.1999999999999993,-4.100000000000001,-4.5,-0.8999999999999986,-1.599999999999998,0.0,2.0,-2.6000000000000005,-10.799999999999995,-5.199999999999996,-1.2999999999999972,2.41,-12.0,4.700000000000001,1
1,3,14,19.0,-1.7000000000000028,3.4000000000000057,-2.099999999999998,0.5,-16.799999999999997,-6.100000000000001,4.5,-1.7999999999999972,-1.2999999999999972,-10.800000000000004,-2.0,0.5999999999999979,6.25,3.4000000000000057,-4.4,-6.0,2.3999999999999986,-2.0999999999999943,17.73,-2.5,4.200000000000001,0
1,2,15,24.584,-4.475999999999999,6.299999999999997,1.0999999999999943,5.399999999999999,-15.057000000000002,-1.6000000000000014,0.0,-4.300000000000004,0.2000000000000028,12.9,7.399999999999999,0.1000000000000014,16.193179999999998,0.2000000000000028,2.1,-2.0999999999999943,3.1000000000000014,4.200000000000003,25.397,10.5,-1.5,0
2,1,8,21.1,3.4000000000000057,-3.6000000000000085,8.600000000000001,0.8999999999999986,-9.099999999999994,-1.3000000000000045,1.2999999999999972,4.100000000000001,7.5,1.0,4.799999999999997,2.8999999999999986,12.78,1.1000000000000083,-2.1999999999999997,-10.599999999999998,-1.599999999999998,3.4000000000000057,9.57,-1.6000000000000014,9.1,0
1,7,10,-2.599999999999998,-0.9000000000000057,7.700000000000003,4.0,-6.400000000000002,-1.1999999999999886,-2.1000000000000014,-1.3000000000000007,1.1999999999999955,2.3999999999999986,6.899999999999999,5.5,4.700000000000001,19.69,-2.700000000000003,-1.2999999999999998,0.8999999999999986,-5.200000000000003,4.5,-14.1,-2.8999999999999986,-1.799999999999999,1
1,7,10,7.099999999999998,-3.0999999999999943,-0.2999999999999971,2.9999999999999964,0.4000000000000057,1.1999999999999886,0.9000000000000057,-0.6999999999999993,-0.8999999999999986,7.899999999999999,-1.5999999999999943,-7.099999999999998,-1.3000000000000007,26.06,-0.2999999999999971,-4.1,7.100000000000001,-0.8000000000000007,4.800000000000011,-7.82,-5.0,-2.299999999999999,0
2,4,5,15.7,1.5999999999999943,-5.199999999999989,8.099999999999998,5.0,-1.2999999999999972,-0.2000000000000028,4.199999999999999,0.0,4.299999999999997,-3.799999999999997,-0.2000000000000028,-3.700000000000001,4.640000000000001,-1.7000000000000028,-5.2,3.0,3.9000000000000057,-3.8000000000000114,-0.3399999999999998,3.1000000000000014,2.1,0
1,2,15,24.003,-0.3269999999999982,-1.8999999999999917,7.200000000000003,-2.1000000000000014,-18.52820000000001,-3.699999999999996,9.2,-3.700000000000003,-3.3999999999999986,11.6,5.700000000000003,-0.6999999999999993,18.12144213,-3.0999999999999943,0.0,-8.200000000000003,7.800000000000004,-4.1000000000000085,23.039,11.4,1.1000000000000014,0
